FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Energy Type,Energy Consuming Sector
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,192.383,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.176,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,664.98,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,250.801,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,1.127,Bioenergy & Wastes,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.182,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.005,Coal,Agriculture
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,528.53,Petroleum Products,Road Transport
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,1.268,Bioenergy & Wastes,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,1.044,Petroleum Products,Rail
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.164,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.003,Coal,Agriculture
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,7.846,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.599,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.883,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,9.429,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,540.071,Petroleum Products,Road Transport
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.691,Bioenergy & Wastes,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,1.102,Petroleum Products,Rail
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.198,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.003,Coal,Agriculture
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.532,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,7.087,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,638.243,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,1.241,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,8.808,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.582,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,6.922,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,616.878,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,1.095,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,9.371,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.158,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,234.589,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,174.811,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.563,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,7.465,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,643.232,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.532,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,9.967,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.156,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,279.318,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,185.324,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.18,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.188,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,269.642,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,181.335,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,541.144,Petroleum Products,Road Transport
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,1.026,Petroleum Products,Rail
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.002,Coal,Agriculture
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,1.013,Bioenergy & Wastes,Domestic
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,0.811,Petroleum Products,Commercial
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,37.725,Petroleum Products,Industrial
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,0.107,Manufactured Fuels,Industrial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,0.0,Bioenergy & Wastes,Industrial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,0.0,Bioenergy & Wastes,Commercial
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,0.009,Coal,Commercial
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,0.0,Coal,Industrial
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,0.0,Bioenergy & Wastes,Industrial
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,150.3,Gas,Industrial
S12000039,West Dunbartonshire,Council Area,2017,Count,GWh,69.264,Gas,Commercial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,0.816,Petroleum Products,Commercial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,38.893,Petroleum Products,Industrial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,0.107,Manufactured Fuels,Industrial
S12000039,West Dunbartonshire,Council Area,2019,Count,GWh,203.829,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,0.0,Coal,Industrial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,0.009,Coal,Commercial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,121.085,Gas,Industrial
S12000039,West Dunbartonshire,Council Area,2018,Count,GWh,82.149,Gas,Commercial
S12000039,West Dunbartonshire,Council Area,2015,Count,GWh,0.228,Manufactured Fuels,Industrial
S12000039,West Dunbartonshire,Council Area,2015,Count,GWh,0.901,Petroleum Products,Commercial
S12000039,West Dunbartonshire,Council Area,2015,Count,GWh,140.258,Gas,Industrial
S12000039,West Dunbartonshire,Council Area,2016,Count,GWh,0.0,Bioenergy & Wastes,Commercial
S12000039,West Dunbartonshire,Council Area,2015,Count,GWh,37.101,Petroleum Products,Industrial
