FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Energy Type,Energy Consuming Sector
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,192.383,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.176,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,664.98,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,250.801,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,868.701,All,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,1.127,Bioenergy & Wastes,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,639.841,All,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.182,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.005,Coal,Agriculture
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,528.53,Petroleum Products,Road Transport
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,1.268,Bioenergy & Wastes,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,1.044,Petroleum Products,Rail
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.164,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.003,Coal,Agriculture
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,7.846,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.599,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,0.883,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,9.429,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2009,Count,GWh,553.147,All,Transport
S12000039,West Dunbartonshire,Council Area,2009,Count,GWh,537.979,All,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2010,Count,GWh,730.552,All,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,547.136,All,Transport
S12000039,West Dunbartonshire,Council Area,2009,Count,GWh,744.803,All,Domestic
S12000039,West Dunbartonshire,Council Area,2011,Count,GWh,701.244,All,Domestic
S12000039,West Dunbartonshire,Council Area,2011,Count,GWh,570.209,All,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2010,Count,GWh,578.308,All,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2010,Count,GWh,539.78,All,Transport
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,544.605,All,Transport
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,636.192,All,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,830.119,All,Domestic
S12000039,West Dunbartonshire,Council Area,2005,Count,GWh,530.528,All,Transport
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,840.517,All,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,802.531,All,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,584.036,All,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,634.313,All,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,545.859,All,Transport
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,540.071,Petroleum Products,Road Transport
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.691,Bioenergy & Wastes,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,1.102,Petroleum Products,Rail
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.198,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.003,Coal,Agriculture
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.532,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,7.087,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,638.243,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,1.241,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,8.808,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.582,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,6.922,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,616.878,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,1.095,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,9.371,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,0.158,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,234.589,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2008,Count,GWh,174.811,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.563,Manufactured Fuels,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,7.465,Petroleum Products,Agriculture
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,643.232,Gas,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.532,Petroleum Products,Public Sector
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,9.967,Petroleum Products,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,0.156,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,279.318,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,185.324,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.18,Coal,Public Sector
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0,Coal,Rail
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.188,Coal,Domestic
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,269.642,Electricity,Industrial & Commercial
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,181.335,Electricity,Domestic
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,541.144,Petroleum Products,Road Transport
S12000039,West Dunbartonshire,Council Area,2006,Count,GWh,1.026,Petroleum Products,Rail
S12000039,West Dunbartonshire,Council Area,2007,Count,GWh,0.002,Coal,Agriculture
