FeatureCode,FeatureName,DateCode,Value,Energy Consuming Sector
S12000039,West Dunbartonshire,2005,0.0,Rail
S12000006,Dumfries and Galloway,2005,578.151,Industrial & Commercial
S12000006,Dumfries and Galloway,2005,403.875,Domestic
S12000027,Shetland Islands,2005,88.748,Industrial
S12000027,Shetland Islands,2005,7.092,Commercial
S12000027,Shetland Islands,2005,107.461,Domestic
S12000027,Shetland Islands,2005,102.042,Industrial & Commercial
S12000027,Shetland Islands,2005,0.0,Rail
S12000006,Dumfries and Galloway,2005,0.0,Rail
S12000027,Shetland Islands,2005,2.971,Domestic
S12000027,Shetland Islands,2005,0.276,Agriculture
S12000027,Shetland Islands,2005,4.105,Domestic
S12000027,Shetland Islands,2005,5.005,Public Sector
S12000027,Shetland Islands,2005,2.329,Domestic
S12000027,Shetland Islands,2005,147.333,Road Transport
S12000027,Shetland Islands,2005,83.828,Domestic
S12000027,Shetland Islands,2005,66.418,Agriculture
S12000027,Shetland Islands,2005,0.0,Domestic
S12000006,Dumfries and Galloway,2005,13.959,Domestic
S12000006,Dumfries and Galloway,2005,501.602,Agriculture
S12000006,Dumfries and Galloway,2005,765.51,Domestic
S12000027,Shetland Islands,2005,2.844,Industrial
S12000027,Shetland Islands,2005,0.603,Industrial
S12000027,Shetland Islands,2005,0.0,Industrial
S12000027,Shetland Islands,2005,0.395,Industrial
S12000027,Shetland Islands,2005,0.0,Commercial
S12000027,Shetland Islands,2005,0.152,Commercial
S12000006,Dumfries and Galloway,2005,1937.153,Road Transport
S12000006,Dumfries and Galloway,2005,347.481,Domestic
S12000006,Dumfries and Galloway,2005,26.547,Rail
S12000006,Dumfries and Galloway,2005,14.486,Public Sector
S12000006,Dumfries and Galloway,2005,27.148,Industrial
S12000006,Dumfries and Galloway,2005,227.305,Industrial
S12000006,Dumfries and Galloway,2005,9.165,Commercial
S12000006,Dumfries and Galloway,2005,1.077,Agriculture
S12000006,Dumfries and Galloway,2005,11.62,Public Sector
S12000006,Dumfries and Galloway,2005,10.206,Domestic
S12000006,Dumfries and Galloway,2005,20.05,Domestic
S12000027,Shetland Islands,2005,0.0,Rail
