DateCode,FeatureName,Energy Consuming Sector,Value
2005,Aberdeen City,Agriculture,11.648
2005,Aberdeen City,Commercial,1070.127
2005,Aberdeen City,Domestic,2243.2599999999998
2005,Aberdeen City,Industrial,1722.1989999999998
2005,Aberdeen City,Industrial & Commercial,880.81
2005,Aberdeen City,Public Sector,39.452
2005,Aberdeen City,Rail,9.817
2005,Aberdeen City,Road Transport,1144.273
2005,Aberdeenshire,Agriculture,361.844
2005,Aberdeenshire,Commercial,639.256
2005,Aberdeenshire,Domestic,2624.091
2005,Aberdeenshire,Industrial,1297.765
2005,Aberdeenshire,Industrial & Commercial,704.65
2005,Aberdeenshire,Public Sector,24.944000000000003
2005,Aberdeenshire,Rail,39.918
2005,Aberdeenshire,Road Transport,2125.703
2005,Angus,Agriculture,85.458
2005,Angus,Commercial,307.517
2005,Angus,Domestic,1187.625
2005,Angus,Industrial,535.921
2005,Angus,Industrial & Commercial,326.826
2005,Angus,Public Sector,3.65
2005,Angus,Rail,36.372
2005,Angus,Road Transport,823.0509999999999
2005,Argyll and Bute,Agriculture,119.033
2005,Argyll and Bute,Commercial,185.925
2005,Argyll and Bute,Domestic,934.15
2005,Argyll and Bute,Industrial,455.152
2005,Argyll and Bute,Industrial & Commercial,235.589
2005,Argyll and Bute,Public Sector,81.212
2005,Argyll and Bute,Rail,5.128
2005,Argyll and Bute,Road Transport,697.408
2005,City of Edinburgh,Agriculture,10.783
2005,City of Edinburgh,Commercial,1835.377
2005,City of Edinburgh,Domestic,4504.803
2005,City of Edinburgh,Industrial,2499.2529999999997
2005,City of Edinburgh,Industrial & Commercial,1707.051
2005,City of Edinburgh,Public Sector,17.837999999999997
2005,City of Edinburgh,Rail,49.354
2005,City of Edinburgh,Road Transport,2888.9170000000004
2005,Clackmannanshire,Agriculture,10.011000000000001
2005,Clackmannanshire,Commercial,325.454
2005,Clackmannanshire,Domestic,520.011
2005,Clackmannanshire,Industrial,442.701
2005,Clackmannanshire,Industrial & Commercial,227.82
2005,Clackmannanshire,Public Sector,0.471
2005,Clackmannanshire,Rail,0.205
2005,Clackmannanshire,Road Transport,245.26399999999998
2005,Dumfries and Galloway,Agriculture,502.679
2005,Dumfries and Galloway,Commercial,546.428
2005,Dumfries and Galloway,Domestic,1561.0810000000001
2005,Dumfries and Galloway,Industrial,989.3409999999999
2005,Dumfries and Galloway,Industrial & Commercial,578.151
2005,Dumfries and Galloway,Public Sector,26.106
2005,Dumfries and Galloway,Rail,26.547
2005,Dumfries and Galloway,Road Transport,1940.304
2005,Dundee City,Agriculture,1.053
2005,Dundee City,Commercial,602.479
2005,Dundee City,Domestic,1338.862
2005,Dundee City,Industrial,948.423
2005,Dundee City,Industrial & Commercial,495.519
2005,Dundee City,Public Sector,1.113
2005,Dundee City,Rail,10.678
2005,Dundee City,Road Transport,796.148
2005,East Ayrshire,Agriculture,97.094
2005,East Ayrshire,Commercial,385.841
2005,East Ayrshire,Domestic,1290.022
2005,East Ayrshire,Industrial,702.164
2005,East Ayrshire,Industrial & Commercial,282.958
2005,East Ayrshire,Public Sector,8.571
2005,East Ayrshire,Rail,4.086
2005,East Ayrshire,Road Transport,917.3230000000001
2005,East Dunbartonshire,Agriculture,9.068
2005,East Dunbartonshire,Commercial,177.22899999999998
2005,East Dunbartonshire,Domestic,1232.37
2005,East Dunbartonshire,Industrial,281.039
2005,East Dunbartonshire,Industrial & Commercial,196.605
2005,East Dunbartonshire,Public Sector,1.326
2005,East Dunbartonshire,Rail,6.423
2005,East Dunbartonshire,Road Transport,475.303
2005,East Lothian,Agriculture,38.588
2005,East Lothian,Commercial,293.871
2005,East Lothian,Domestic,959.257
2005,East Lothian,Industrial,1103.6979999999999
2005,East Lothian,Industrial & Commercial,288.377
2005,East Lothian,Public Sector,2.952
2005,East Lothian,Rail,35.49
2005,East Lothian,Road Transport,718.103
2005,East Renfrewshire,Agriculture,15.34
2005,East Renfrewshire,Commercial,112.64
2005,East Renfrewshire,Domestic,1032.656
2005,East Renfrewshire,Industrial,154.232
2005,East Renfrewshire,Industrial & Commercial,97.994
2005,East Renfrewshire,Public Sector,0.914
2005,East Renfrewshire,Rail,2.213
2005,East Renfrewshire,Road Transport,672.6329999999999
2005,Falkirk,Agriculture,23.363
2005,Falkirk,Commercial,652.033
2005,Falkirk,Domestic,1518.502
2005,Falkirk,Industrial,21601.889000000003
2005,Falkirk,Industrial & Commercial,474.981
2005,Falkirk,Public Sector,10.73
2005,Falkirk,Rail,16.12
2005,Falkirk,Road Transport,1218.8649999999998
2005,Fife,Agriculture,90.205
2005,Fife,Commercial,2034.257
2005,Fife,Domestic,3891.3559999999998
2005,Fife,Industrial,7907.174999999999
2005,Fife,Industrial & Commercial,1184.341
2005,Fife,Public Sector,18.867
2005,Fife,Rail,74.463
2005,Fife,Road Transport,2249.2070000000003
2005,Glasgow City,Agriculture,3.968
2005,Glasgow City,Commercial,2340.7560000000003
2005,Glasgow City,Domestic,5138.637000000001
2005,Glasgow City,Industrial,3241.5600000000004
2005,Glasgow City,Industrial & Commercial,2109.147
2005,Glasgow City,Public Sector,7.912
2005,Glasgow City,Rail,11.91
2005,Glasgow City,Road Transport,3169.246
2005,Highland,Agriculture,306.994
2005,Highland,Commercial,784.9929999999999
2005,Highland,Domestic,2371.812
2005,Highland,Industrial,1841.95
2005,Highland,Industrial & Commercial,1036.024
2005,Highland,Public Sector,109.953
2005,Highland,Rail,53.129
2005,Highland,Road Transport,1927.8899999999999
2005,Inverclyde,Agriculture,7.628
2005,Inverclyde,Commercial,220.825
2005,Inverclyde,Domestic,812.368
2005,Inverclyde,Industrial,294.39399999999995
2005,Inverclyde,Industrial & Commercial,221.668
2005,Inverclyde,Public Sector,2.002
2005,Inverclyde,Rail,0.196
2005,Inverclyde,Road Transport,489.908
2005,Midlothian,Agriculture,22.37
2005,Midlothian,Commercial,166.447
2005,Midlothian,Domestic,807.6600000000001
2005,Midlothian,Industrial,269.55
2005,Midlothian,Industrial & Commercial,164.157
2005,Midlothian,Public Sector,3.592
2005,Midlothian,Rail,7.527
2005,Midlothian,Road Transport,528.3340000000001
2005,Moray,Agriculture,94.20700000000001
2005,Moray,Commercial,693.3760000000001
2005,Moray,Domestic,938.804
2005,Moray,Industrial,938.365
2005,Moray,Industrial & Commercial,325.675
2005,Moray,Public Sector,11.06
2005,Moray,Rail,7.485
2005,Moray,Road Transport,561.379
2005,Na h-Eileanan Siar,Agriculture,36.059
2005,Na h-Eileanan Siar,Commercial,26.916999999999998
2005,Na h-Eileanan Siar,Domestic,282.19
2005,Na h-Eileanan Siar,Industrial,101.977
2005,Na h-Eileanan Siar,Industrial & Commercial,60.174
2005,Na h-Eileanan Siar,Public Sector,11.751000000000001
