DateCode,FeatureName,Energy Type,Value
2005,Aberdeen City,Bioenergy & Wastes,15.538
2005,Aberdeen City,Coal,27.641000000000002
2005,Aberdeen City,Electricity,2278.5389999999998
2005,Aberdeen City,Gas,3145.962
2005,Aberdeen City,Manufactured Fuels,13.370999999999999
2005,Aberdeen City,Petroleum Products,1640.535
2005,Aberdeenshire,Bioenergy & Wastes,37.482
2005,Aberdeenshire,Coal,47.858000000000004
2005,Aberdeenshire,Electricity,2067.035
2005,Aberdeenshire,Gas,1832.691
2005,Aberdeenshire,Manufactured Fuels,31.593000000000004
2005,Aberdeenshire,Petroleum Products,3801.512
2005,Angus,Bioenergy & Wastes,13.403
2005,Angus,Coal,11.949
2005,Angus,Electricity,958.009
2005,Angus,Gas,1051.05
2005,Angus,Manufactured Fuels,7.021
2005,Angus,Petroleum Products,1264.988
2005,Argyll and Bute,Bioenergy & Wastes,16.399
2005,Argyll and Bute,Coal,26.685000000000002
2005,Argyll and Bute,Electricity,798.0730000000001
2005,Argyll and Bute,Gas,576.545
2005,Argyll and Bute,Manufactured Fuels,8.972000000000001
2005,Argyll and Bute,Petroleum Products,1286.923
2005,City of Edinburgh,Bioenergy & Wastes,15.216
2005,City of Edinburgh,Coal,13.889000000000001
2005,City of Edinburgh,Electricity,4444.555
2005,City of Edinburgh,Gas,5780.645
2005,City of Edinburgh,Manufactured Fuels,5.273
2005,City of Edinburgh,Petroleum Products,3253.798
2005,Clackmannanshire,Bioenergy & Wastes,4.204
2005,Clackmannanshire,Coal,1.5590000000000002
2005,Clackmannanshire,Electricity,559.345
2005,Clackmannanshire,Gas,876.449
2005,Clackmannanshire,Manufactured Fuels,4.666
2005,Clackmannanshire,Petroleum Products,325.714
2005,Dumfries and Galloway,Bioenergy & Wastes,108.15699999999998
2005,Dumfries and Galloway,Coal,43.249
2005,Dumfries and Galloway,Electricity,1560.176
2005,Dumfries and Galloway,Gas,1354.209
2005,Dumfries and Galloway,Manufactured Fuels,41.107
2005,Dumfries and Galloway,Petroleum Products,3063.739
2005,Dundee City,Bioenergy & Wastes,4.036
2005,Dundee City,Coal,0.41500000000000004
2005,Dundee City,Electricity,1394.2730000000001
2005,Dundee City,Gas,1752.374
2005,Dundee City,Manufactured Fuels,0.982
2005,Dundee City,Petroleum Products,1042.1950000000002
2005,East Ayrshire,Bioenergy & Wastes,178.79899999999998
2005,East Ayrshire,Coal,37.006
2005,East Ayrshire,Electricity,791.2239999999999
2005,East Ayrshire,Gas,1474.904
2005,East Ayrshire,Manufactured Fuels,8.272
2005,East Ayrshire,Petroleum Products,1197.854
2005,East Dunbartonshire,Bioenergy & Wastes,5.014
2005,East Dunbartonshire,Coal,1.485
2005,East Dunbartonshire,Electricity,609.749
2005,East Dunbartonshire,Gas,1196.68
2005,East Dunbartonshire,Manufactured Fuels,2.6550000000000002
2005,East Dunbartonshire,Petroleum Products,563.78
2005,East Lothian,Bioenergy & Wastes,345.047
2005,East Lothian,Coal,272.574
2005,East Lothian,Electricity,787.688
2005,East Lothian,Gas,880.357
2005,East Lothian,Manufactured Fuels,224.703
2005,East Lothian,Petroleum Products,929.967
2005,East Renfrewshire,Bioenergy & Wastes,6.126
2005,East Renfrewshire,Coal,0.996
2005,East Renfrewshire,Electricity,389.83799999999997
2005,East Renfrewshire,Gas,968.558
2005,East Renfrewshire,Manufactured Fuels,2.706
2005,East Renfrewshire,Petroleum Products,720.398
2005,Falkirk,Bioenergy & Wastes,8.032
2005,Falkirk,Coal,3.129
2005,Falkirk,Electricity,1289.163
2005,Falkirk,Gas,2074.698
2005,Falkirk,Manufactured Fuels,585.7339999999999
2005,Falkirk,Petroleum Products,21555.727000000003
2005,Fife,Bioenergy & Wastes,30.175000000000004
2005,Fife,Coal,598.853
2005,Fife,Electricity,3111.618
2005,Fife,Gas,6145.63
2005,Fife,Manufactured Fuels,30.869999999999997
2005,Fife,Petroleum Products,7532.725
